machine name, x, y, machine-0, machine-1, machine-2, machine-3, machine-4, machine-5, machine-6, machine-7, machine-8, machine-9, gate
machine-0, 180, 290, 0, 852.306854, 1165.81778, 1650.32782, 1160.726105, 1508.533539, 1251.164658, 782.154051, 1397.801665, 556.222167, 1234.813166
machine-1, 945, 320, 852.306854, 0, 313.765076, 798.33548, 308.434402, 656.241837, 963.171631, 1634.45694, 2250.104553, 1408.525055, 2087.116055
machine-2, 1215, 160, 1165.81778, 313.765076, 0, 484.570389, 563.833435, 911.388214, 1276.922119, 1947.967865, 2563.615479, 1722.03598, 2400.62698
machine-3, 1620, 180, 1650.32782, 798.33548, 484.570389, 0, 1048.403839, 1395.958618, 1761.49234, 2432.477905, 3048.125519, 2206.546021, 2885.13702
machine-4, 1200, 454, 1160.726105, 308.434402, 563.833435, 1048.403839, 0, 347.807465, 1271.606049, 1738.291504, 1981.856506, 1964.627563, 1820.137478
machine-5, 1500, 630, 1508.533539, 656.241837, 911.388214, 1395.958618, 347.807465, 0, 385.809086, 1390.484039, 1634.049042, 1616.820099, 1472.330013
machine-6, 1280, 810, 1251.164658, 1042.050953, 1276.922119, 1761.49234, 733.61655, 385.809086, 0, 1023.237543, 1266.802546, 1249.573603, 1105.083517
machine-7, 405, 725, 782.154051, 1634.45694, 1947.967865, 2432.477905, 1738.291504, 1390.484039, 1023.237543, 0, 615.784439, 226.372986, 452.79594
machine-8, 200, 1050, 1397.801665, 2290.290909, 2563.615479, 3048.125519, 1981.856506, 1634.049042, 1266.802546, 615.784439, 0, 842.15741, 181.640764
machine-9, 210, 610, 556.222167, 1408.525055, 1722.03598, 2206.546021, 1716.944305, 2064.75174, 1807.382858, 226.372986, 842.15741, 0, 679.168911
gate, 320, 936, 1234.813166, 2128.57188, 2400.62698, 2885.13702, 1820.137478, 1472.330013, 1105.083517, 452.79594, 181.640764, 679.168911, 0
